path,file_name,description,end_date,date_last_modified
80257B32004D7A4700256FD3005097ED,20040113 Cover letter_80257B32004D7A4700256FD3005097ED.doc,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T17:58:22
80257B32004D7A4700256FD3005097ED,20050113 Agenda for Government client roundtable meeting_80257B32004D7A4700256FD3005097ED.doc,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T17:58:22
80257B32004D7A4700256FD3005097ED,80257B32004D7A4700256FD3005097ED.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-23T12:03:41
80257B32004D7A4700256FD3005097ED,8452 Morris Chap 9 5th_80257B32004D7A4700256FD3005097ED.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T17:58:23
80257B32004D7A4780256D110037A737,80257B32004D7A4780256D110037A737.pdf,Population statistics: migration statistics methodology,2003-12-31T00:00:00,2023-01-20T14:39:35
80257B32004D7A4780256D110037A737,PCT migration template_80257B32004D7A4780256D110037A737.xls,Population statistics: migration statistics methodology,2003-12-31T00:00:00,2020-05-13T10:27:12
80257B32004D7A4780256E3E003E9338,207777_1_80257B32004D7A4780256E3E003E9338.doc,Population statistics: migration statistics methodology,2003-12-31T00:00:00,2020-05-13T11:10:12
80257B32004D7A4780256E3E003E9338,80257B32004D7A4780256E3E003E9338.pdf,Population statistics: migration statistics methodology,2003-12-31T00:00:00,2023-01-23T10:39:36
80257B32004D7A4780256EC3004B0D41,80257B32004D7A4780256EC3004B0D41.pdf,Population statistics: migration statistics methodology,2004-12-31T00:00:00,2023-01-19T16:42:00
80257B32004D7A4780256EC3004B20D2,80257B32004D7A4780256EC3004B20D2.pdf,Population statistics: migration statistics methodology,2004-12-31T00:00:00,2023-01-19T16:43:27
80257B32004D7A478025700A003DEEA7,80257B32004D7A478025700A003DEEA7.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-19T16:50:39
80257B32004D7A478025700A0049B669,80257B32004D7A478025700A0049B669.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-19T16:49:36
80257B32004D7A478025700A0049EBBE,80257B32004D7A478025700A0049EBBE.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-23T11:33:23
80257B32004D7A478025700A0049EBBE,Morris Review - Chapter 9 GAD_80257B32004D7A478025700A0049EBBE.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T19:01:55
80257B32004D7A478025700A0049EBBE,morris_govtresponse[1]_80257B32004D7A478025700A0049EBBE.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T19:01:55
80257B32004D7A478025700A0049F898,80257B32004D7A478025700A0049F898.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-19T16:46:32
80257B32004D7A478025700A0049FB03,80257B32004D7A478025700A0049FB03.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-19T16:47:33
80257B32004D7A478025700A004C50B5,80257B32004D7A478025700A004C50B5.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-23T11:31:13
80257B32004D7A478025700A004C50B5,Morris Review - Chapter 9 GAD_80257B32004D7A478025700A004C50B5.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:57
80257B32004D7A478025700A004C50B5,morris_govtresponse[1]_80257B32004D7A478025700A004C50B5.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:57
80257B32004D7A478025700A004C563D,80257B32004D7A478025700A004C563D.pdf,Population statistics: Counting In and Out (COI) Steering Group minutes and papers,2010-12-31T00:00:00,2023-07-14T10:57:45
80257B32004D7A478025700A004C563D,Morris Review - Chapter 9 GAD_80257B32004D7A478025700A004C563D.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:46
80257B32004D7A478025700A004C563D,morris_govtresponse[1]_80257B32004D7A478025700A004C563D.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:46
80257B32004D7A478025700A004C5994,80257B32004D7A478025700A004C5994.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2023-01-23T12:01:10
80257B32004D7A478025700A004C5994,Morris Review - Chapter 9 GAD_80257B32004D7A478025700A004C5994.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:51
80257B32004D7A478025700A004C5994,morris_govtresponse[1]_80257B32004D7A478025700A004C5994.pdf,Morris Review: recommendations on national population projections; transfer of demographic work from GAD to ONS,2005-12-31T00:00:00,2020-05-13T18:59:52
